Tiempo_s,TorqueSolicitado_Nm,TorqueMotor_Nm,VelocidadMotor_rpm,VelocidadAngular_rad_s,PotenciaMecanica_kW,PotenciaElectrica_kW,CorrienteDC_A,Eficiencia_pct,PotenciaRegenerativa_kW,Perdidas_kW
0,0,0,0,0,0,0,0,NaN,-0,0
0.1,2.5,2.5,25,2.61799387799149,0.00654498469497874,0.00711411379888993,0.0199834657272189,92,0,0.000569129103911195
0.2,5,5,50,5.23598775598299,0.0261799387799149,0.0284564551955597,0.0799338629088756,92,0,0.00227651641564478
0.3,7.5,7.5,75,7.85398163397448,0.0589048622548086,0.0640270241900094,0.17985119154497,92,0,0.00512216193520074
0.4,10,10,100,10.471975511966,0.10471975511966,0.113825820782239,0.319735451635502,92,0,0.00910606566257911
0.5,12.5,12.5,125,13.0899693899575,0.163624617374468,0.177852844972248,0.499586643180473,92,0,0.0142282275977799
0.6,15,15,150,15.707963267949,0.235619449019235,0.256108096760038,0.719404766179881,92,0,0.020488647740803
0.7,17.5,17.5,175,18.3259571459405,0.320704250053958,0.348591576145607,0.979189820633726,92,0,0.0278873260916485
0.8,20,20,200,20.943951023932,0.418879020478639,0.455303283128956,1.27894180654201,92,0,0.0364242626503165
0.9,22.5,22.5,225,23.5619449019234,0.530143760293277,0.576243217710084,1.61866072390473,92,0,0.0460994574168067
1,25,25,250,26.1799387799149,0.654498469497873,0.711411379888993,1.99834657272189,92,0,0.0569129103911195
1.1,27.5,27.5,275,28.7979326579064,0.791943148092427,0.860807769665682,2.41799935299349,92,0,0.0688646215732545
1.2,30,30,300,31.4159265358979,0.942477796076938,1.02443238704015,2.87761906471952,92,0,0.0819545909632119
1.3,32.5,32.5,325,34.0339204138894,1.10610241345141,1.2022852320124,3.3772057079,92,0,0.0961828185609918
1.4,35,35,350,36.6519142918809,1.28281700021583,1.39436630458243,3.91675928253491,92,0,0.111549304366594
1.5,37.5,37.5,375,39.2699081698724,1.47262155637022,1.60067560475023,4.49627978862425,92,0,0.128054048380019
1.6,40,40,400,41.8879020478639,1.67551608191456,1.82121313251582,5.11576722616804,92,0,0.145697050601266
1.7,42.5,42.5,425,44.5058959258554,1.89150057684885,2.05597888787919,5.77522159516626,92,0,0.164478311030335
1.8,45,45,450,47.1238898038469,2.12057504117311,2.30497287084034,6.47464289561892,92,0,0.184397829667227
1.9,47.5,47.5,475,49.7418836818384,2.36273947488732,2.56819508139926,7.21403112752602,92,0,0.205455606511941
2,50,50,500,52.3598775598299,2.61799387799149,2.84564551955597,7.99338629088756,92,0,0.227651641564478
2.1,52.5,52.5,525,54.9778714378214,2.88633825048562,3.13732418531046,8.81270838570354,92,0,0.250985934824836
2.2,55,55,550,57.5958653158129,3.16777259236971,3.44323107866273,9.67199741197395,92,0,0.275458486293018
2.3,57.5,57.5,575,60.2138591938044,3.46229690364375,3.76336619961277,10.5712533696988,92,0,0.301069295969022
